58,56,54,55
53,57,53,55
54,59,55,57
56,58,54,63
55,64,54,64
57,72,55,66
55,89,50,89
59,88,56,88
55,88,58,88
41,87,41,87
35,81,39,88
38,88,35,78
35,78,36,78
36,80,35,88
35,61,34,61
37,58,37,57
37,58,37,59
38,59,34,60
34,53,19,64
35,61,35,54
35,41,36,57
34,28,30,28
38,29,26,29
40,40,25,29
57,19,38,41
52,16,54,18
59,18,57,19
65,18,60,18
67,30,66,20
60,33,70,27
61,32,62,32
63,31,62,31
71,29,65,29
75,11,77,12
78,13,84,22
82,18,85,23
80,15,83,20
75,11,80,15
70,12,83,21
82,20,81,19
80,17,81,17
79,14,79,14
80,15,80,15
69,28,71,29
80,15,90,25
86,21,90,24
74,38,76,43
88,52,75,39
90,46,74,44
77,70,85,71
89,69,82,73
71,60,74,77
74,58,78,56
63,70,65,69
66,66,64,69
65,68,74,59
72,60,76,56
68,63,76,56
76,56,70,61
75,56,70,61
78,74,77,57
77,57,73,59
80,71,75,57
84,75,85,74
76,56,72,58
76,54,77,54
76,54,71,60
75,56,73,58
91,57,90,53
91,56,89,63
89,62,89,47
89,61,88,63
89,44,91,53
88,44,89,58
91,52,89,56
91,53,90,50
91,49,91,47
92,31,91,46
89,25,90,34
92,26,84,22
86,21,85,21
84,19,80,11
65,15,68,13
65,10,65,11
65,16,65,12
71,28,67,28
72,29,71,29
71,29,66,29
82,17,68,28
91,31,87,23
90,32,71,40
70,41,67,32
70,41,77,43
68,29,73,40
76,43,76,43
66,33,65,33
69,29,64,35
67,31,62,37
61,38,62,37
62,36,73,29
56,43,64,33
59,56,55,43
54,55,42,42
56,54,54,58
57,54,58,54
53,89,49,89
42,87,61,87
43,87,60,87
72,84,72,76
75,80,71,76
66,90,67,90
70,89,68,90
72,87,76,81
73,86,75,80
78,72,75,76
65,67,59,73
65,66,71,62
71,62,72,62
72,61,76,76
66,65,79,71
80,70,73,61
73,60,80,70
86,70,86,69
87,69,84,73
82,75,82,76
89,67,89,60
88,69,88,57
89,58,80,73
83,73,90,67
89,70,91,67
90,69,91,65
91,64,89,60
91,63,89,50
91,60,91,61
90,49,91,59
90,47,92,31
88,23,89,24
85,20,90,25
68,13,79,11
65,11,65,19
65,10,65,16
65,17,64,15
71,28,67,28
66,29,72,29
82,17,71,29
87,23,84,19
87,24,81,16
84,19,86,22
82,17,86,22
74,13,84,19
85,21,80,16
77,14,83,18
85,22,81,16
76,12,79,15
70,13,71,13
81,16,84,20
77,11,78,11
65,20,65,16
68,13,65,11
65,11,69,11
65,16,64,15
67,28,71,28
59,15,72,28
61,17,65,31
49,12,48,12
38,29,36,22
37,13,36,13
42,11,36,22
35,13,50,13
35,13,49,13
31,12,53,13
30,13,47,13
38,12,44,11
30,13,33,21
29,22,32,10
27,21,26,21
12,9,12,22
11,13,13,25
23,26,12,19
9,30,18,65
22,64,21,64
15,66,16,66
21,64,17,65
36,62,12,65
35,62,35,60
34,51,34,50
35,60,21,67
21,70,20,68
21,71,21,72
22,74,13,66
14,67,12,65
13,52,12,56
13,54,13,53
14,49,12,49
10,50,10,50
12,42,9,31
25,29,14,29
12,27,25,31
9,12,22,12
13,11,22,13
22,25,26,21
31,9,31,21
38,22,53,14
53,19,50,12
54,15,62,18
61,34,66,18
78,13,71,26
81,17,80,15
84,20,80,15
79,14,82,18
85,23,78,13
81,18,82,18
68,13,65,12
71,12,77,12
65,12,70,28
59,19,65,30
64,31,71,27
62,33,65,31
55,19,59,17
54,19,51,19
60,17,49,12
37,25,40,12
37,27,38,13
48,13,49,13
30,13,32,21
23,22,11,18
15,10,12,22
10,30,23,26
18,65,9,65
22,64,21,64
21,64,16,65
12,65,17,65
19,68,36,60
20,73,20,71
20,76,21,76
31,80,20,75
24,81,19,71
20,76,19,70
13,73,12,73
11,74,28,87
26,81,27,87
19,88,12,83
13,87,13,87
11,88,12,89
13,76,12,77
12,89,14,74
16,73,17,73
11,75,21,75
22,75,10,75
10,75,12,81
10,75,12,74
27,82,12,76
19,75,25,85
23,89,26,79
26,78,28,78
25,82,29,78
28,81,34,78
25,82,33,82
33,80,33,83
55,75,34,87
56,78,55,78
55,77,54,65
55,77,54,78
54,62,56,65
56,63,56,64
36,61,56,61
35,62,38,57
35,62,38,55
36,60,34,60
19,67,38,60
19,63,21,72
21,63,19,63
20,63,24,81
32,79,31,79
29,79,30,79
29,86,28,86
11,82,27,88
14,87,12,87
12,89,12,89
12,89,17,88
11,75,12,80
10,75,21,75
12,81,10,75
19,75,10,75
19,75,26,82
26,79,26,78
28,81,33,81
25,82,28,81
34,88,33,80
32,87,33,87
46,88,44,88
47,88,43,89
34,83,34,85
52,88,51,87
53,87,40,89
70,86,69,90
74,79,72,76
67,90,70,88
75,82,71,87
75,80,76,81
78,72,75,77
59,73,65,67
65,66,76,76
71,62,68,64
80,70,66,65
72,61,79,71
80,70,70,62
80,70,86,70
80,72,84,73
82,76,83,76
90,62,89,66
87,72,89,55
88,55,89,58
91,65,89,54
90,53,76,53
89,50,89,48
84,21,91,57
87,22,88,23
80,11,85,20
68,13,65,15
65,10,65,17
71,28,67,28
59,15,58,17
72,28,71,27
65,30,71,27
65,31,56,41
56,38,47,38
48,38,36,29
39,26,39,25
39,28,23,30
27,28,22,30
11,30,12,26
13,23,13,42
13,39,13,40
25,26,11,35
18,11,9,12
22,12,26,13
31,21,25,21
53,14,51,10
53,16,53,19
36,25,37,29
39,20,36,27
45,40,43,41
36,39,35,39
34,38,49,39
53,38,52,38
42,40,33,39
34,40,42,41
26,30,31,30
12,45,11,53
13,43,12,46
18,65,22,65
13,64,14,64
12,49,13,51
13,48,14,48
21,64,12,64
17,65,17,65
15,66,36,61
37,63,35,60
37,63,36,62
35,62,34,52
33,41,37,42
34,28,26,29
39,30,22,30
25,29,39,30
11,35,24,21
12,26,13,23
13,40,13,42
13,27,13,26
16,66,13,41
10,65,12,65
21,64,10,63
35,60,17,65
19,69,18,72
21,76,21,74
